2026-04-01 22:07:26,048 | INFO | __main__ | cpider initialized
2026-04-01 22:07:26,048 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 22:07:26,048 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
2026-04-01 22:09:59,926 | INFO | __main__ | cpider initialized
2026-04-01 22:09:59,927 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 22:09:59,927 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
2026-04-01 22:47:20,921 | INFO | __main__ | cpider initialized
2026-04-01 22:47:20,922 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 22:47:20,922 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
2026-04-01 23:10:05,355 | INFO | __main__ | cpider initialized
2026-04-01 23:10:05,355 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 23:10:05,355 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
2026-04-01 23:39:50,311 | INFO | __main__ | cpider initialized
2026-04-01 23:39:50,312 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 23:39:50,312 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
2026-04-01 23:43:41,123 | INFO | __main__ | cpider initialized
2026-04-01 23:43:41,124 | INFO | __main__ | data dir: /Users/cker/PycharmProjects/Local/Cpider/data
2026-04-01 23:43:41,124 | INFO | __main__ | logs dir: /Users/cker/PycharmProjects/Local/Cpider/logs
